Order ID,Customer ID,Order Date,AddressID
CA-2014-165568,BF-11020,2014-02-15,A003636
CA-2014-122567,MN-17935,2014-02-16,A000633
CA-2014-154165,DL-13315,2014-02-17,A004678
CA-2014-152905,AB-10015,2014-02-18,A004002
US-2014-165589,TB-21595,2014-02-18,A002991
CA-2014-109491,LC-16930,2014-02-20,A002221
CA-2014-164903,SR-20740,2014-02-20,A004154
CA-2014-165540,TM-21010,2014-02-21,A001419
CA-2014-133354,SA-20830,2014-02-22,A003711
CA-2014-103744,MG-17875,2014-02-23,A003203
US-2014-137680,JH-15430,2014-02-24,A002715
CA-2014-156545,JS-16030,2014-02-27,A004650
CA-2014-104269,DB-13060,2014-03-01,A000076
CA-2014-131009,SC-20380,2014-03-01,A003877
CA-2014-168312,GW-14605,2014-03-01,A004045
US-2014-143707,HR-14770,2014-03-01,A002813
CA-2014-113880,VF-21715,2014-03-01,A003210
CA-2014-107524,KN-16705,2014-03-02,A002979
CA-2014-111157,NH-18610,2014-03-02,A004890
CA-2014-155852,AJ-10945,2014-03-03,A000261
US-2014-127978,JS-15595,2014-03-03,A003544
CA-2014-130421,SC-20020,2014-03-03,A003596
CA-2014-105648,EJ-14155,2014-03-03,A004263
CA-2014-127964,AP-10720,2014-03-03,A000552
CA-2014-117016,SC-20095,2014-03-04,A002181
CA-2014-116239,CL-12565,2014-03-04,A000759
CA-2014-169061,AB-10150,2014-03-05,A004152
US-2014-131982,NP-18685,2014-03-07,A002575
CA-2014-156587,AB-10015,2014-03-07,A002426
CA-2014-104563,CM-12715,2014-03-07,A004743
US-2014-140116,KT-16480,2014-03-10,A001018
US-2014-100279,SW-20275,2014-03-10,A000556
US-2014-103338,RB-19435,2014-03-11,A004038
CA-2014-166884,CK-12205,2014-03-11,A000741
CA-2014-114790,FM-14215,2014-03-11,A003432
CA-2014-158337,KA-16525,2014-03-11,A001692
CA-2014-114510,JF-15295,2014-03-14,A002294
CA-2014-157623,DK-13225,2014-03-14,A000923
CA-2014-100293,NF-18475,2014-03-14,A004677
CA-2014-152618,RB-19465,2014-03-14,A004615
US-2014-125521,CK-12325,2014-03-14,A001391
CA-2014-149958,AS-10240,2014-03-15,A000280
CA-2014-157609,KN-16705,2014-03-16,A001700
US-2014-148838,CP-12340,2014-03-17,A001150
CA-2014-127859,QJ-19255,2014-03-17,A003902
CA-2014-118339,BN-11515,2014-03-17,A000640
CA-2014-158442,AZ-10750,2014-03-17,A002495
US-2014-164763,MH-17440,2014-03-17,A003633
CA-2014-111871,EK-13795,2014-03-18,A003026
CA-2014-145317,SM-20320,2014-03-18,A001312
US-2014-131275,SC-20050,2014-03-18,A003587
CA-2014-103989,MC-17605,2014-03-19,A003031
CA-2014-163223,KH-16690,2014-03-21,A003701
CA-2014-140004,CB-12025,2014-03-21,A000095
US-2014-107405,TS-21205,2014-03-21,A002688
US-2014-155544,GM-14440,2014-03-21,A004065
US-2014-158057,CC-12685,2014-03-22,A000857
CA-2014-148040,BF-11275,2014-03-22,A001412
US-2014-129609,VM-21835,2014-03-22,A002141
CA-2014-120838,PO-18865,2014-03-23,A001750
CA-2014-164749,BG-11740,2014-03-23,A003228
CA-2014-143637,MS-17710,2014-03-24,A003810
CA-2014-147235,CD-11920,2014-03-24,A002201
CA-2014-128237,CA-12265,2014-03-25,A004566
CA-2014-148586,AZ-10750,2014-03-25,A001186
CA-2014-100860,CS-12505,2014-03-26,A004749
CA-2014-138436,JD-15895,2014-03-26,A002090
CA-2014-141838,DK-12835,2014-03-26,A004436
US-2014-137869,CV-12295,2014-03-28,A003828
CA-2014-100881,DR-12940,2014-03-28,A004129
US-2014-117380,MP-18175,2014-03-28,A004868
CA-2014-137274,MG-18145,2014-03-29,A003574
US-2014-113124,NC-18340,2014-03-30,A004111
US-2014-105151,SG-20890,2014-03-30,A002927
CA-2014-169033,KM-16720,2014-03-30,A001427
CA-2014-133424,Dl-13600,2014-03-30,A000331
CA-2014-131247,GA-14725,2014-03-30,A003017
CA-2014-162089,MP-17470,2014-03-30,A003721
CA-2014-128055,AA-10315,2014-03-31,A001084
CA-2014-112403,JO-15280,2014-03-31,A002306
CA-2014-130428,TG-21640,2014-03-31,A004702
US-2014-104759,DD-13570,2014-03-31,A002468
CA-2014-101770,KB-16240,2014-03-31,A002699
CA-2014-138359,KH-16330,2014-04-01,A003879
US-2014-157021,KM-16720,2014-04-01,A000653
CA-2014-164315,RD-19585,2014-04-02,A002798
CA-2014-160276,AH-10690,2014-04-02,A004363
US-2014-157847,SC-20020,2014-04-02,A003596
CA-2014-112291,KE-16420,2014-04-03,A004859
CA-2014-105172,PK-18910,2014-04-04,A000755
CA-2014-149538,KB-16585,2014-04-04,A002507
US-2014-128685,MZ-17515,2014-04-04,A002372
CA-2014-133228,MS-17710,2014-04-04,A001942
US-2014-157231,RP-19855,2014-04-05,A004872
CA-2014-151001,JG-15805,2014-04-05,A001904
CA-2014-149104,RD-19900,2014-04-05,A004672
CA-2014-113887,TH-21550,2014-04-05,A000328
CA-2014-102988,GM-14695,2014-04-05,A001619
CA-2014-153808,FH-14275,2014-04-06,A000899
CA-2014-102652,AY-10555,2014-04-06,A002955
CA-2014-136742,GP-14740,2014-04-06,A000406
CA-2014-169803,SC-20260,2014-04-06,A002464
US-2014-118486,SD-20485,2014-04-06,A000663
CA-2014-124023,PJ-19015,2014-04-07,A001717
CA-2014-165806,VM-21685,2014-04-07,A003073
CA-2014-128846,RS-19765,2014-04-07,A002052
CA-2014-150581,NM-18445,2014-04-08,A003445
US-2014-118997,RA-19885,2014-04-08,A002916
CA-2014-121769,JS-15880,2014-04-08,A003627
CA-2014-100363,JM-15655,2014-04-08,A001883
US-2014-163797,PC-19000,2014-04-08,A003141
US-2014-121734,SE-20110,2014-04-11,A002250
CA-2014-138940,GM-14455,2014-04-11,A002379
CA-2014-110555,MM-18055,2014-04-11,A004069
US-2014-102715,JK-15370,2014-04-11,A001853
US-2014-158365,SV-20785,2014-04-12,A004465
CA-2014-154599,KN-16450,2014-04-12,A001371
CA-2014-142979,EH-13765,2014-04-12,A004843
CA-2014-167724,BF-11170,2014-04-13,A003285
CA-2014-122336,JD-15895,2014-04-13,A000067
US-2014-120740,PS-18970,2014-04-15,A003732
CA-2014-155208,SP-20650,2014-04-16,A000184
CA-2014-110849,JL-15835,2014-04-18,A001742
CA-2014-100678,KM-16720,2014-04-18,A003220
CA-2014-169460,NF-18595,2014-04-19,A002246
CA-2014-158470,AG-10390,2014-04-19,A003830
CA-2014-101462,BP-11230,2014-04-20,A003351
CA-2014-134572,SV-20365,2014-04-20,A002482
CA-2014-136336,DB-13555,2014-04-21,A004451
CA-2014-158064,AA-10375,2014-04-21,A000557
CA-2014-122070,AH-10030,2014-04-22,A003502
US-2014-112564,TS-21160,2014-04-23,A000684
CA-2014-111857,NM-18445,2014-04-23,A004559
US-2014-150119,LB-16795,2014-04-23,A001678
US-2014-157406,DA-13450,2014-04-25,A000847
CA-2014-110100,LC-16885,2014-04-25,A001320
CA-2014-166954,BT-11305,2014-04-25,A002158
CA-2014-147298,AG-10300,2014-04-26,A001273
CA-2014-116785,MH-17290,2014-04-26,A002669
CA-2014-131387,AI-10855,2014-04-28,A004122
CA-2014-140228,GB-14530,2014-04-28,A001779
CA-2014-118976,MY-18295,2014-04-28,A000860
CA-2014-132983,DS-13180,2014-04-28,A004364
CA-2014-134061,LL-16840,2014-04-29,A000417
CA-2014-118304,KH-16360,2014-04-29,A004021
CA-2014-107811,LA-16780,2014-04-29,A003137
CA-2014-142727,HG-14845,2014-04-29,A001425
CA-2014-156006,TM-21010,2014-04-30,A002449
CA-2014-160094,JM-16195,2014-04-30,A004224
CA-2014-115056,AR-10510,2014-05-02,A002868
CA-2014-124618,CS-11860,2014-05-02,A003440
CA-2014-135755,NC-18415,2014-05-03,A001896
CA-2014-130274,JS-15940,2014-05-03,A000748
CA-2014-155271,AA-10480,2014-05-04,A000691
CA-2014-111899,NC-18340,2014-05-04,A003570
US-2014-148194,BS-11365,2014-05-04,A003896
CA-2014-117709,PM-18940,2014-05-04,A000553
CA-2014-160738,KH-16330,2014-05-05,A002287
CA-2014-166457,PF-19120,2014-05-05,A002071
CA-2014-110219,EB-13870,2014-05-05,A002240
CA-2014-111934,GD-14590,2014-05-05,A004203
US-2014-154879,SN-20710,2014-05-06,A002173
CA-2014-121664,HP-14815,2014-05-06,A000634
CA-2014-166086,CT-11995,2014-05-07,A003218
CA-2014-116666,KT-16480,2014-05-08,A004305
US-2014-102071,PG-18820,2014-05-09,A000385
CA-2014-158771,SB-20290,2014-05-09,A001744
CA-2014-159709,AI-10855,2014-05-10,A002545
CA-2014-103310,GM-14680,2014-05-10,A004509
CA-2014-114181,AF-10885,2014-05-10,A003685
CA-2014-103849,PG-18895,2014-05-11,A000254
CA-2014-119172,HD-14785,2014-05-11,A004714
CA-2014-139017,RM-19375,2014-05-11,A000853
CA-2014-152100,VW-21775,2014-05-11,A004626
CA-2014-127523,BG-11695,2014-05-11,A002022
CA-2014-155887,KT-16480,2014-05-12,A001341
CA-2014-127159,HL-15040,2014-05-12,A000801
CA-2014-114433,NP-18325,2014-05-13,A001586
CA-2014-113768,AH-10030,2014-05-13,A002629
CA-2014-167164,AG-10270,2014-05-13,A000009
CA-2014-140165,EH-14005,2014-05-13,A000921
CA-2014-106810,AJ-10795,2014-05-14,A000358
CA-2014-125150,PW-19030,2014-05-16,A003820
US-2014-163146,CC-12475,2014-05-16,A004170
CA-2014-148761,PA-19060,2014-05-17,A001482
CA-2014-164224,TT-21070,2014-05-18,A001579
CA-2014-133963,GA-14515,2014-05-18,A004837
CA-2014-103373,BS-11755,2014-05-18,A000888
US-2014-107699,JH-15820,2014-05-19,A002035
CA-2014-130155,TD-20995,2014-05-19,A004721
US-2014-114188,RF-19345,2014-05-20,A001033
CA-2014-130673,MC-17590,2014-05-20,A004194
CA-2014-104780,BT-11530,2014-05-21,A001520
CA-2014-152443,FG-14260,2014-05-21,A002892
CA-2014-127166,KH-16360,2014-05-21,A004822
CA-2014-117639,MW-18235,2014-05-21,A000477
CA-2014-143840,EH-14185,2014-05-22,A001613
US-2014-105767,AR-10510,2014-05-23,A000281
US-2014-135881,GT-14710,2014-05-23,A000399
CA-2014-138513,EH-13990,2014-05-23,A003245
CA-2014-143413,RP-19390,2014-05-24,A001313
US-2014-130379,JL-15235,2014-05-25,A000883
CA-2014-100391,BW-11065,2014-05-25,A004633
CA-2014-144029,MM-18055,2014-05-26,A003300
CA-2014-158029,HF-14995,2014-05-26,A001346
CA-2014-156349,ML-17395,2014-05-26,A000782
CA-2014-129574,Dp-13240,2014-05-26,A001350
CA-2014-124429,MH-17785,2014-05-27,A000345
CA-2014-139192,LC-16885,2014-05-27,A000505
US-2014-117058,LE-16810,2014-05-27,A000627
CA-2014-135993,PJ-18835,2014-05-28,A002794
CA-2014-108861,MM-17260,2014-05-28,A004116
CA-2014-140473,MC-17425,2014-05-30,A004178
CA-2014-105872,JG-15160,2014-05-30,A001770
CA-2014-146885,EB-13840,2014-05-30,A002281
CA-2014-103429,LW-16825,2014-05-30,A003838
CA-2014-145800,SS-20410,2014-05-30,A002830
CA-2014-166051,JK-15625,2014-05-31,A003885
CA-2014-111003,CR-12625,2014-06-01,A000141
CA-2014-131926,DW-13480,2014-06-01,A000114
US-2014-157070,QJ-19255,2014-06-01,A004491
US-2014-165659,LT-17110,2014-06-01,A001067
CA-2014-100895,SV-20785,2014-06-02,A001909
CA-2014-104472,CK-12325,2014-06-02,A000334
CA-2014-141299,RB-19795,2014-06-03,A003114
CA-2014-163867,RE-19450,2014-06-03,A004841
CA-2014-135657,SC-20725,2014-06-03,A000824
CA-2014-147914,MP-17470,2014-06-04,A000913
CA-2014-151946,BT-11440,2014-06-04,A004209
CA-2014-159520,GT-14635,2014-06-06,A001037
CA-2014-151897,VT-21700,2014-06-06,A003181
CA-2014-133270,BM-11785,2014-06-06,A000845
US-2014-161305,SB-20170,2014-06-06,A003103
CA-2014-169257,SV-20785,2014-06-06,A003233
US-2014-134971,BP-11095,2014-06-07,A000178
CA-2014-106229,NR-18550,2014-06-07,A002314
US-2014-109162,KE-16420,2014-06-08,A001885
US-2014-141257,CS-11950,2014-06-08,A001344
CA-2014-108147,RD-19480,2014-06-08,A004592
CA-2014-132612,FO-14305,2014-06-09,A000878
CA-2014-133753,CW-11905,2014-06-09,A000225
CA-2014-160262,TS-21205,2014-06-09,A002423
CA-2014-133851,CM-12445,2014-06-09,A000402
CA-2014-115812,BH-11710,2014-06-09,A000004
CA-2014-144281,HK-14890,2014-06-10,A004773
CA-2014-114643,FM-14215,2014-06-13,A000901
CA-2014-140487,SR-20425,2014-06-14,A002555
CA-2014-126963,PS-18760,2014-06-15,A003393
US-2014-141215,KL-16555,2014-06-15,A000436
CA-2014-113929,CK-12205,2014-06-16,A001437
CA-2014-136644,SC-20575,2014-06-16,A001214
CA-2014-156342,JF-15415,2014-06-17,A004866
CA-2014-144414,GH-14425,2014-06-17,A003333
CA-2014-104402,DB-13660,2014-06-17,A003115
CA-2014-123855,MC-18100,2014-06-18,A004809
CA-2014-166863,SC-20020,2014-06-20,A001728
US-2014-112949,Co-12640,2014-06-20,A003964
CA-2014-138317,NW-18400,2014-06-21,A001478
US-2014-160780,SV-20785,2014-06-21,A001300
CA-2014-141796,JG-15160,2014-06-21,A002520
US-2014-117135,NP-18325,2014-06-21,A000320
CA-2014-130624,TB-21280,2014-06-21,A002174
CA-2014-128146,DB-13060,2014-06-21,A000564
CA-2014-141278,RM-19375,2014-06-21,A000892
CA-2014-142048,JE-15745,2014-06-22,A000192
CA-2014-124646,DV-13465,2014-06-22,A001047
CA-2014-154963,AA-10645,2014-06-22,A001976
CA-2014-133389,TB-21280,2014-06-22,A004406
US-2014-130358,DL-13330,2014-06-23,A001994
CA-2014-126032,BS-11665,2014-06-23,A001031
CA-2014-159814,LP-17080,2014-06-24,A004612
CA-2014-164469,GK-14620,2014-06-25,A002374
CA-2014-159338,NS-18640,2014-06-25,A000529
CA-2014-104283,LM-17065,2014-06-27,A001111
CA-2014-156993,RW-19630,2014-06-28,A001443
CA-2014-140858,CA-12775,2014-06-28,A000383
CA-2014-165974,DL-12865,2014-06-29,A000361
CA-2014-111773,JK-15625,2014-06-29,A002824
CA-2014-123064,RA-19915,2014-06-30,A001306
CA-2014-116757,MS-17980,2014-06-30,A002210
US-2014-121566,CS-11860,2014-06-30,A002523
CA-2014-109218,AR-10825,2014-06-30,A001548
CA-2014-146640,HA-14905,2014-06-30,A000668
CA-2014-152254,BD-11620,2014-06-30,A004091
CA-2014-160773,LW-16825,2014-07-01,A000622
CA-2014-153150,Dl-13600,2014-07-01,A000331
CA-2014-107594,EH-13945,2014-07-02,A001333
CA-2014-138709,MS-17770,2014-07-04,A003501
CA-2014-120096,KE-16420,2014-07-04,A003297
CA-2014-157784,MC-17845,2014-07-05,A000318
CA-2014-107139,DP-13390,2014-07-05,A001865
CA-2014-152849,DW-13195,2014-07-05,A001906
CA-2014-103317,DM-13525,2014-07-05,A002675
US-2014-160444,DC-12850,2014-07-05,A000644
CA-2014-147543,BC-11125,2014-07-06,A003347
CA-2014-134278,EP-13915,2014-07-06,A000745
US-2014-138758,JL-15835,2014-07-07,A002167
CA-2014-150301,MH-18025,2014-07-08,A002346
CA-2014-100090,EB-13705,2014-07-08,A003095
CA-2014-113271,DS-13030,2014-07-09,A004532
CA-2014-114125,GH-14410,2014-07-09,A003980
CA-2014-165379,BM-11650,2014-07-09,A001658
CA-2014-123225,MN-17935,2014-07-11,A002858
CA-2014-163552,LA-16780,2014-07-11,A000495
CA-2014-133305,MH-17455,2014-07-11,A003118
CA-2014-166555,JK-15205,2014-07-11,A004882
CA-2014-131310,CL-12565,2014-07-12,A001470
CA-2014-161508,PV-18985,2014-07-12,A004047
CA-2014-110184,BF-11170,2014-07-12,A000574
CA-2014-129924,AC-10420,2014-07-12,A000154
CA-2014-124807,ME-17725,2014-07-12,A003621
US-2014-165862,GK-14620,2014-07-13,A000875
CA-2014-164182,ST-20530,2014-07-14,A003390
CA-2014-124464,SS-20515,2014-07-14,A003718
CA-2014-109904,BF-10975,2014-07-14,A003922
US-2014-150532,PB-19150,2014-07-14,A001477
US-2014-103905,AW-10930,2014-07-14,A001071
CA-2014-115980,VW-21775,2014-07-15,A001614
CA-2014-138198,JL-15130,2014-07-18,A004422
CA-2014-123295,AH-10120,2014-07-18,A001019
CA-2014-168158,EM-14140,2014-07-19,A002746
US-2014-150434,CA-12310,2014-07-19,A001651
CA-2014-141726,CC-12145,2014-07-20,A002934
CA-2014-143903,KM-16375,2014-07-20,A001519
CA-2014-142965,SW-20245,2014-07-20,A002165
CA-2014-157546,RD-19720,2014-07-20,A003534
CA-2014-127866,JD-15895,2014-07-20,A003957
CA-2014-116932,ME-18010,2014-07-21,A000911
CA-2014-129189,HM-14860,2014-07-21,A003908
CA-2014-109890,PG-18820,2014-07-21,A004142
CA-2014-117464,NP-18325,2014-07-22,A003504
US-2014-164644,JL-15850,2014-07-22,A004759
CA-2014-122679,AB-10255,2014-07-22,A004658
CA-2014-127691,EM-14065,2014-07-22,A000222
CA-2014-145254,NC-18535,2014-07-23,A004624
CA-2014-103058,AG-10270,2014-07-23,A003628
US-2014-119137,AG-10900,2014-07-23,A000167
CA-2014-143917,KL-16645,2014-07-25,A001220
CA-2014-146528,VF-21715,2014-07-25,A001793
CA-2014-169019,LF-17185,2014-07-26,A004816
US-2014-155894,CL-11890,2014-07-26,A001145
CA-2014-126760,KM-16720,2014-07-26,A001884
CA-2014-116190,SG-20470,2014-07-26,A003593
CA-2014-159121,JO-15145,2014-07-26,A003158
US-2014-150126,AS-10045,2014-07-27,A002252
CA-2014-169642,BB-10990,2014-07-27,A004348
CA-2014-124709,GW-14605,2014-07-27,A001899
CA-2014-131541,CK-12205,2014-07-28,A002800
CA-2014-111192,TS-21430,2014-07-30,A002527
CA-2014-117345,BF-10975,2014-08-01,A000894
CA-2014-162684,AS-10630,2014-08-01,A001173
CA-2014-152296,IL-15100,2014-08-01,A001055
US-2014-106299,NZ-18565,2014-08-02,A003035
CA-2014-128986,GH-14410,2014-08-03,A001553
CA-2014-125612,BK-11260,2014-08-03,A000400
CA-2014-133690,BS-11755,2014-08-03,A000099
CA-2014-134215,ML-17395,2014-08-04,A004495
CA-2014-126361,VD-21670,2014-08-04,A000655
US-2014-117968,RS-19420,2014-08-05,A002885
CA-2014-118962,CS-12130,2014-08-05,A000083
CA-2014-110065,SP-20650,2014-08-05,A003174
CA-2014-124723,GZ-14470,2014-08-05,A004353
CA-2014-150490,SS-20590,2014-08-05,A002631
CA-2014-115357,RF-19735,2014-08-06,A001852
CA-2014-137575,TB-21625,2014-08-06,A004174
CA-2014-131450,LR-16915,2014-08-08,A000277
CA-2014-124478,MA-17560,2014-08-08,A002479
CA-2014-154669,TM-21010,2014-08-08,A001345
CA-2014-151708,MB-17305,2014-08-08,A000696
CA-2014-156790,VG-21790,2014-08-08,A004382
CA-2014-161249,RD-19720,2014-08-09,A003634
CA-2014-141901,GM-14500,2014-08-09,A000984
CA-2014-167850,AG-10525,2014-08-09,A000145
CA-2014-166471,MG-17650,2014-08-09,A001670
CA-2014-169726,JH-15985,2014-08-09,A001788
CA-2014-110527,ED-13885,2014-08-09,A000843
CA-2014-127012,GM-14680,2014-08-11,A000580
CA-2014-154641,KL-16645,2014-08-11,A001590
CA-2014-109897,BW-11200,2014-08-12,A004011
CA-2014-156244,DH-13675,2014-08-12,A004032
CA-2014-153927,LL-16840,2014-08-12,A004858
CA-2014-109302,CS-12175,2014-08-12,A003312
US-2014-164406,BD-11605,2014-08-15,A004833
CA-2014-141005,CS-12355,2014-08-15,A003324
CA-2014-138023,KH-16510,2014-08-15,A001627
CA-2014-109043,CS-12355,2014-08-15,A004402
CA-2014-142839,TS-21610,2014-08-16,A000818
CA-2014-129168,KB-16585,2014-08-17,A000994
CA-2014-111500,DJ-13510,2014-08-17,A001233
CA-2014-121727,JK-15625,2014-08-19,A001142
US-2014-156559,LH-16900,2014-08-19,A002006
CA-2014-133158,DW-13195,2014-08-19,A003426
US-2014-143581,BS-11365,2014-08-19,A004012
US-2014-164616,MS-17770,2014-08-19,A001159
CA-2014-166716,CR-12730,2014-08-20,A001432
CA-2014-114321,NC-18535,2014-08-20,A004793
CA-2014-123253,DE-13255,2014-08-22,A002122
US-2014-166828,JF-15415,2014-08-22,A004591
CA-2014-130918,JP-15520,2014-08-22,A004374
CA-2014-154837,RB-19645,2014-08-23,A003264
CA-2014-110639,RH-19495,2014-08-23,A001141
CA-2014-124737,AP-10915,2014-08-23,A003434
US-2014-112795,CR-12625,2014-08-23,A004256
CA-2014-120432,DW-13585,2014-08-24,A002911
CA-2014-106719,RB-19645,2014-08-24,A001494
CA-2014-107916,JP-15460,2014-08-24,A001541
CA-2014-104178,JM-15265,2014-08-25,A002923
CA-2014-103660,MW-18220,2014-08-25,A003040
CA-2014-107398,BS-11590,2014-08-25,A004347
CA-2014-126200,JE-15715,2014-08-25,A004126
CA-2014-115259,RC-19960,2014-08-25,A000057
CA-2014-123260,FM-14290,2014-08-26,A000091
CA-2014-103331,KB-16315,2014-08-26,A002618
US-2014-115413,PP-18955,2014-08-26,A003819
CA-2014-124688,CC-12610,2014-08-27,A001718
CA-2014-143336,ZD-21925,2014-08-27,A000010
CA-2014-101266,MM-17920,2014-08-27,A003033
CA-2014-169775,RA-19945,2014-08-29,A000929
CA-2014-135699,HH-15010,2014-08-29,A000799
CA-2014-146500,AT-10735,2014-08-30,A004127
CA-2014-143385,SJ-20500,2014-08-31,A001715
CA-2014-109855,LH-16900,2014-09-01,A004010
CA-2014-126522,LT-16765,2014-09-01,A000551
CA-2014-165428,JL-15130,2014-09-01,A001573
CA-2014-158281,AG-10525,2014-09-02,A003565
CA-2014-152268,SC-20095,2014-09-02,A004425
CA-2014-106971,BM-11785,2014-09-02,A004485
US-2014-138828,KD-16345,2014-09-02,A002409
CA-2014-157721,JM-16195,2014-09-02,A001444
CA-2014-127936,CL-12565,2014-09-02,A002170
CA-2014-151792,CV-12295,2014-09-02,A002460
US-2014-120236,MR-17545,2014-09-03,A004092
CA-2014-125171,AG-10390,2014-09-03,A002438
CA-2014-136861,PR-18880,2014-09-05,A002671
CA-2014-106572,NP-18700,2014-09-05,A001227
CA-2014-130449,VP-21760,2014-09-06,A003242
CA-2014-105165,SZ-20035,2014-09-07,A002581
CA-2014-131002,TB-21400,2014-09-07,A001287
CA-2014-117765,RB-19465,2014-09-07,A002940
CA-2014-109918,LR-17035,2014-09-07,A004073
CA-2014-100006,DK-13375,2014-09-07,A001324
CA-2014-122882,SB-20290,2014-09-07,A000813
CA-2014-126193,SS-20410,2014-09-07,A004655
CA-2014-146815,PP-18955,2014-09-08,A004261
CA-2014-132500,GZ-14470,2014-09-08,A000342
CA-2014-140032,TS-21340,2014-09-08,A004641
CA-2014-107818,MC-17275,2014-09-08,A002375
CA-2014-123127,SP-20620,2014-09-08,A002127
CA-2014-139892,BM-11140,2014-09-08,A000082
CA-2014-163293,KC-16255,2014-09-08,A000600
CA-2014-128839,TT-21070,2014-09-08,A002029
CA-2014-168592,DP-13390,2014-09-08,A001699
CA-2014-146283,KT-16465,2014-09-08,A002595
US-2014-115987,LH-17020,2014-09-08,A000389
US-2014-131870,NF-18595,2014-09-09,A003905
CA-2014-102869,LC-17140,2014-09-09,A001773
CA-2014-144407,MS-17365,2014-09-09,A000426
CA-2014-103527,CC-12220,2014-09-09,A004082
CA-2014-126403,RR-19525,2014-09-09,A001297
US-2014-115196,DL-12925,2014-09-09,A003726
CA-2014-125731,CL-12565,2014-09-10,A003674
US-2014-138835,DA-13450,2014-09-10,A002879
CA-2014-113383,SF-20065,2014-09-10,A003888
CA-2014-112837,LW-17125,2014-09-11,A003108
CA-2014-116246,LW-17215,2014-09-12,A001634
US-2014-150924,PT-19090,2014-09-12,A001556
CA-2014-103702,AF-10885,2014-09-12,A001622
CA-2014-101476,SD-20485,2014-09-12,A000196
US-2014-119081,TA-21385,2014-09-12,A002682
CA-2014-138527,BN-11470,2014-09-12,A000326
US-2014-156216,EA-14035,2014-09-13,A000110
CA-2014-126277,LH-16900,2014-09-13,A003375
CA-2014-113859,BC-11125,2014-09-13,A002589
CA-2014-142769,RP-19390,2014-09-13,A004234
CA-2014-132962,JM-15535,2014-09-13,A000441
CA-2014-140039,ON-18715,2014-09-13,A001814
CA-2014-145212,DC-12850,2014-09-13,A001205
US-2014-100853,JB-15400,2014-09-14,A000084
CA-2014-159184,JC-15775,2014-09-14,A001786
US-2014-127635,SC-20260,2014-09-14,A004113
CA-2014-113362,AJ-10960,2014-09-14,A000226
CA-2014-145576,CA-12775,2014-09-14,A000264
CA-2014-160766,DM-13015,2014-09-14,A002508
CA-2014-138100,AA-10315,2014-09-15,A003652
CA-2014-149594,MF-18250,2014-09-15,A003188
CA-2014-141152,RF-19345,2014-09-16,A003099
CA-2014-112851,NR-18550,2014-09-17,A002336
CA-2014-103940,BN-11515,2014-09-17,A001927
US-2014-158638,AG-10765,2014-09-17,A000412
CA-2014-131947,JA-15970,2014-09-17,A003707
US-2014-117170,KT-16465,2014-09-17,A001620
